varname,item,country,date,N,agree,disagree,dk
cimaftacol,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Colombia,3/31/2009,600,66,31,3
cimaglobcol,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Colombia,3/31/2009,600,60,31,9
cidetradecol,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Colombia,10/30/2010,1500,51.5,28.5,20
lapftacol,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Colombia,5/30/2010,1506,53.9,20.6,25.6
cimaftacol,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Colombia,4/30/2011,600,64,,
cidetradecol,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Colombia,12/15/2012,1700,51,19,30
pewglobcol,What do you think about the growing trade and business ties between your country and other countries?,Colombia,5/8/2014,1002,68,25,7
cidetradecol,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Colombia,5/29/2015,1500,45,23,32
lbfreecol,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Colombia,2/15/2015,1200,63.66,28.83,7.5
lbfreecol,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Colombia,6/15/2016,1200,59.33,37.41,3.2
lbfreecol,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Colombia,8/28/2017,1200,74.25,23.75,2
usiafreecri,El gobierno propone permitir a casi todos los productos extranjeros entran con pocos impuestos. Algunos dicen que nuestros productos no podran competir y quebraran empresas. Otros dicen que podran competir al bajar los precios. Es de acuerdo en que habra mas competencia?,Costa Rica,3/31/1992,1220,68,10,22
lbfreecri,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Costa Rica,9/1/1996,1001,64.34,13.69,21.98
lbalcacri,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Costa Rica,9/1/1996,1001,36.26,34.46,29.27
usiafreecri,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Costa Rica,8/7/1997,1000,61.2,27.6,11.2
lbfreecri,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Costa Rica,12/19/1997,1007,70.61,22.14,7.25
wsjfreecri,Do you think that free trade is good or bad for our country?,Costa Rica,3/30/1998,0,87,,
wsjpta1cri,Do you believe (Mercosur/CACM) has helped or hurt with respect to you and your family?,Costa Rica,3/30/1999,750,53,,
wsjpta2cri,Do you believe (Mercosur/CACM) has helped or hurt with respect to the economy of the country?,Costa Rica,3/30/1999,750,74,,
lbalcacri,Benefits of ALCA in the economic development of the country,Costa Rica,5/17/2001,1000,74.3,14.5,11.2
lbftacri_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Costa Rica,8/14/2003,1004,40.84,32.67,26.5
cimaalcacri,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Costa Rica,5/30/2004,199,69,21,10
cimaglobcri,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Costa Rica,5/30/2004,199,38,55,7
lbftacri_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Costa Rica,6/4/2004,1000,49.7,17.5,32.8
lbalcacri,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Costa Rica,6/4/2004,1000,64.2,17.4,18.6
lbftacri_job,impact of economic integration agreements on job opportunities,Costa Rica,11/5/2006,1000,59.6,16.7,23.53
lbftacri_acc,impact of economic integration agreements on access to goods,Costa Rica,11/5/2006,1000,61.3,16.7,22
lbftacri_ind,impact of economic integration agreements on quality of life,Costa Rica,11/5/2006,1000,60.3,17.6,22.1
lbftacri_dev,impact of economic integration agreements on country development,Costa Rica,11/5/2006,1000,63.8,15.3,20.9
lbfreecri,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Costa Rica,11/5/2006,1000,73.7,20.8,10
lbfreecri,Agree with the elimination of import and export taxes in order to increase regional integration,Costa Rica,10/9/2007,1000,57.2,32.9,9.9
lbftacri_job,International free trade treaties have a very positive impact on job opportunities,Costa Rica,10/9/2007,1000,46.1,24.8,29.1
lapftacos,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Costa Rica,2/28/2008,1500,47.4,26.1,26.5
cimaftacri,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Costa Rica,3/31/2009,312,75,17,8
cimaglobcri,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Costa Rica,3/31/2009,312,62,24,12
lapftacos,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Costa Rica,2/28/2010,1500,50.4,26.6,23
cimaftacri,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Costa Rica,4/30/2011,305,58,,
lbfreecri,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Costa Rica,2/15/2015,1000,69,25.9,5.1
lbfreecri,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Costa Rica,6/15/2016,1000,62.7,29.5,7.8
lbfreecri,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Costa Rica,8/28/2017,1000,75.8,20.1,4.1
wsjfreedom,Do you think that free trade is good or bad for our country?,Dominican Republic,3/30/1998,0,78,,
cimaalcadom,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Dominican Republic,12/20/2003,200,62,24,14
cimaglobdom,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Dominican Republic,12/20/2003,200,53,38,9
cimaalcadom,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Dominican Republic,5/30/2004,198,47,30,23
cimaglobdom,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Dominican Republic,5/30/2004,198,43,47,10
lbftadom_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Dominican Republic,6/29/2004,1000,53.7,17,29.3
lbalcadom,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Dominican Republic,6/29/2004,1000,67.7,14.6,17.7
lbftadom_job,impact of economic integration agreements on job opportunities,Dominican Republic,11/5/2006,1000,83,11.3,5.7
lbftadom_acc,impact of economic integration agreements on access to goods,Dominican Republic,11/5/2006,1000,74.3,16.4,9.3
lbftadom_ind,impact of economic integration agreements on quality of life,Dominican Republic,11/5/2006,1000,79.8,13.7,6.5
lbftadom_dev,impact of economic integration agreements on country development,Dominican Republic,11/5/2006,1000,79.7,14.8,5.5
lbfreedom,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Dominican Republic,11/5/2006,1000,85.8,13.4,0.8
lbfreedom,Agree with the elimination of import and export taxes in order to increase regional integration,Dominican Republic,10/9/2007,1000,77.1,18.1,4.8
lbftadom_job,International free trade treaties have a very positive impact on job opportunities,Dominican Republic,10/9/2007,1000,73.7,12.9,13.4
lapftadom,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Dominican Republic,3/31/2008,1507,47.7,25.3,27.1
cimaftadom,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Dominican Republic,3/31/2009,245,57,29,14
cimaglobdom,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Dominican Republic,3/31/2009,245,55,32,13
lapftadom,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Dominican Republic,3/31/2010,1500,45.4,30.5,24.1
cimaftadom,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Dominican Republic,3/31/2011,500,50,,
lbfreedom,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Dominican Republic,2/15/2015,1000,85.1,12.7,2.2
lbfreedom,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Dominican Republic,8/28/2017,1000,85.4,13.4,1.2
lbfreeecu,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Ecuador,7/30/1996,1200,75.92,18.92,5.17
lbalcaecu,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Ecuador,7/30/1996,1200,43.75,46.25,10
lbfreeecu,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Ecuador,12/11/1997,1200,74.75,17.66,7.58
wsjfreeecu,Do you think that free trade is good or bad for our country?,Ecuador,3/30/1998,0,88,,
lbalcaecu,Benefits of ALCA in the economic development of the country,Ecuador,4/22/2001,1200,73.67,16.08,10.25
cimaalcaecu,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Ecuador,2/14/2003,605,47,34,19
cimaglobecu,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Ecuador,2/14/2003,605,44,43,13
lbftaecu_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Ecuador,8/13/2003,1200,27.17,56.42,16.41
cimaalcaecu,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Ecuador,5/30/2004,500,37,46,17
cimaglobecu,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Ecuador,5/30/2004,500,38,51,11
lapftaecu,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Ecuador,2/1/2004,3000,52.2,26.8,21
lbftaecu_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Ecuador,6/22/2004,1200,46,23.83,30.17
lbalcaecu,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Ecuador,6/22/2004,1200,53.33,36.5,10.16
lbftaecu_job,impact of economic integration agreements on job opportunities,Ecuador,11/5/2006,1200,45.66,41.59,13.49
lbftaecu_acc,impact of economic integration agreements on access to goods,Ecuador,11/5/2006,1200,56.08,33.41,10.51
lbftaecu_ind,impact of economic integration agreements on quality of life,Ecuador,11/5/2006,1200,40.42,47.09,12.5
lbftaecu_dev,impact of economic integration agreements on country development,Ecuador,11/5/2006,1200,42.33,45.17,12.49
lbfreeecu,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Ecuador,11/5/2006,1200,61.17,35.67,3.16
lbfreeecu,Agree with the elimination of import and export taxes in order to increase regional integration,Ecuador,10/9/2007,1200,48.92,42.92,8.17
lbftaecu_job,International free trade treaties have a very positive impact on job opportunities,Ecuador,10/9/2007,1200,53.5,20.25,26.25
lapftaecu,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Ecuador,3/31/2008,3000,30.2,40.9,28.9
cimaftaecu,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Ecuador,3/31/2009,600,59,34,7
cimaglobecu,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Ecuador,3/31/2009,600,47,43,10
cideglobalecu,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Ecuador,10/19/2010,1574,46,12,42
cidetradeecu,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Ecuador,10/19/2010,1574,58,24,18
lapftaecu,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Ecuador,3/31/2010,3000,41.6,26.3,32.2
cimaftaecu,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Ecuador,4/30/2011,690,58,,
cideglobalecu,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Ecuador,11/28/2012,1503,55,20,25
cidetradeecu,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Ecuador,11/28/2012,1503,60,22,18
cideglobalecu,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Ecuador,10/30/2014,0,48,16,36
cidetradeecu,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Ecuador,10/30/2014,0,67,10,23
lbfreeecu,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Ecuador,2/15/2015,1200,74.83,19.25,5.92
lbfreeecu,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Ecuador,6/15/2016,1200,81.83,16.75,1.4
lbfreeecu,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Ecuador,8/28/2017,1200,85.67,12.33,2
usiafreeslv,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,El Salvador,9/16/1994,1202,67,23,10
lbfreeslv,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",El Salvador,9/1/1996,1003,61.91,12.86,25.23
lbalcaslv,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",El Salvador,9/1/1996,1003,37.89,32.11,30.01
lbfreeslv,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",El Salvador,12/29/1997,1010,72.28,14.16,13.56
lbalcaslv,Benefits of ALCA in the economic development of the country,El Salvador,4/30/2001,1000,64.8,23,12.1
lbftaslv_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",El Salvador,8/2/2003,1008,38.89,45.14,15.97
lapftaslv,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,El Salvador,2/1/2004,1589,52.4,27.7,19.9
lbftaslv_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",El Salvador,6/4/2004,1000,45.9,22.3,31.8
lbalcaslv,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",El Salvador,6/4/2004,1000,53,25.3,21.7
lbftaslv_job,impact of economic integration agreements on job opportunities,El Salvador,11/5/2006,1020,45.49,29.8,24.71
lbftaslv_acc,impact of economic integration agreements on access to goods,El Salvador,11/5/2006,1020,42.54,31.18,26.27
lbftaslv_ind,impact of economic integration agreements on quality of life,El Salvador,11/5/2006,1020,38.53,35,26.46
lbftaslv_dev,impact of economic integration agreements on country development,El Salvador,11/5/2006,1020,43.73,32.45,23.82
lbfreeslv,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,El Salvador,11/5/2006,1020,67.65,19.9,12.45
lbfreeslv,Agree with the elimination of import and export taxes in order to increase regional integration,El Salvador,10/9/2007,1000,60.2,31.7,8.1
lbftaslv_job,International free trade treaties have a very positive impact on job opportunities,El Salvador,10/9/2007,1000,54.8,25.5,19.7
lapftaslv,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,El Salvador,2/28/2008,1550,33.6,48.4,18.1
cimaftaslv,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",El Salvador,3/31/2009,300,54,24,22
cimaglobslv,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,El Salvador,3/31/2009,300,37,32,31
lapftaslv,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,El Salvador,3/31/2010,1550,52.6,26.9,20.3
cimaftaslv,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",El Salvador,4/30/2011,300,50,,
pewglobslv,What do you think about the growing trade and business ties between your country and other countries?,El Salvador,5/9/2014,1010,84,14,2
lbfreeslv,That (country) can buy goods and services from any other country and that any other country can sell goods and services,El Salvador,2/15/2015,1000,64.4,29.2,6.4
lbfreeslv,That (country) can buy goods and services from any other country and that any other country can sell goods and services,El Salvador,6/15/2016,1000,57.3,31.4,11.3
lbfreeslv,That (country) can buy goods and services from any other country and that any other country can sell goods and services,El Salvador,8/28/2017,1000,77,19.8,3.2
lbfreegtm,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Guatemala,9/1/1996,1001,46.25,15.28,38.46
lbalcagtm,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Guatemala,9/1/1996,1001,27.17,31.37,41.46
lbfreegtm,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Guatemala,12/30/1997,1000,66.9,20.2,12.9
wsjpta1gtm,Do you believe (Mercosur/CACM) has helped or hurt with respect to you and your family?,Guatemala,3/30/1999,752,52,,
wsjpta2gtm,Do you believe (Mercosur/CACM) has helped or hurt with respect to the economy of the country?,Guatemala,3/30/1999,752,66,,
lbalcagtm,Benefits of ALCA in the economic development of the country,Guatemala,5/12/2001,1002,64.87,20.26,14.87
cimaalcagtm,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Guatemala,12/20/2003,200,28,57,15
cimaglobgtm,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Guatemala,12/20/2003,200,47,50,3
lbftagtm_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Guatemala,8/5/2003,1006,27.93,35.09,36.97
cimaalcagtm,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Guatemala,5/30/2004,300,46,25,29
cimaglobgtm,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Guatemala,5/30/2004,300,32,55,13
lapftagtm,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Guatemala,2/28/2004,1708,35.4,32.7,31.9
lbftagtm_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Guatemala,6/4/2004,1000,42,21.7,36.3
lbalcagtm,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Guatemala,6/4/2004,1000,54.2,20.2,25.6
lbftagtm_job,impact of economic integration agreements on job opportunities,Guatemala,11/5/2006,1000,56.4,24.5,19.1
lbftagtm_acc,impact of economic integration agreements on access to goods,Guatemala,11/5/2006,1000,53.7,27.3,19
lbftagtm_ind,impact of economic integration agreements on quality of life,Guatemala,11/5/2006,1000,52.5,28.7,18.8
lbftagtm_dev,impact of economic integration agreements on country development,Guatemala,11/5/2006,1000,57.7,24.8,17.5
lbfreegtm,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Guatemala,11/5/2006,1000,72.4,20.7,6.9
lbfreegtm,Agree with the elimination of import and export taxes in order to increase regional integration,Guatemala,10/9/2007,1000,43.5,35.1,21.4
lbftagtm_job,International free trade treaties have a very positive impact on job opportunities,Guatemala,10/9/2007,1000,29.4,27.5,43.1
lapftagtm,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Guatemala,3/31/2008,1538,27,39,34
cimaftagtm,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Guatemala,3/31/2009,300,74,14,12
cimaglobgtm,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Guatemala,3/31/2009,300,66,22,12
lapftagtm,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Guatemala,3/31/2008,1504,41,28.1,28.7
cimaftagtm,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Guatemala,4/30/2011,300,39,,
lbfreegtm,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Guatemala,2/15/2015,1000,54.8,34.8,10.4
lbfreegtm,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Guatemala,6/15/2016,1000,51.5,37.7,10.8
lbfreegtm,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Guatemala,8/28/2017,1000,64.1,28.3,7.6
lbfreehnd,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Honduras,9/1/1996,998,58.52,23.55,17.94
lbalcahnd,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Honduras,9/1/1996,998,30.36,35.98,33.67
lbfreehnd,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Honduras,12/19/1997,1011,79.63,15.04,5.34
lbalcahnd,Benefits of ALCA in the economic development of the country,Honduras,5/10/2001,1000,80.3,14.4,5.3
lbftahnd_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Honduras,8/12/2003,1006,37.98,42.04,19.98
lapftahnd,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Honduras,2/28/2004,1500,35.5,36.4,28.1
lbftahnd_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Honduras,6/4/2004,1000,50.3,21.8,27.9
lbalcahnd,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Honduras,6/4/2004,1000,73.4,15.6,11
lbftahnd_job,impact of economic integration agreements on job opportunities,Honduras,11/5/2006,1000,61,16.6,22.4
lbftahnd_acc,impact of economic integration agreements on access to goods,Honduras,11/5/2006,1000,60.8,15.7,23.5
lbftahnd_ind,impact of economic integration agreements on quality of life,Honduras,11/5/2006,1000,60.1,17,22.7
lbftahnd_dev,impact of economic integration agreements on country development,Honduras,11/5/2006,1000,61.7,14.4,23.9
lbfreehnd,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Honduras,11/5/2006,1000,74.1,19.3,6.6
lbfreehnd,Agree with the elimination of import and export taxes in order to increase regional integration,Honduras,10/9/2007,1000,42.3,46.1,11.6
lbftahnd_job,International free trade treaties have a very positive impact on job opportunities,Honduras,10/9/2007,1000,41.8,118.8,39.5
lapftahnd,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Honduras,2/28/2008,1522,22.9,38.6,38.4
cimaftahnd,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Honduras,3/31/2009,300,74,18,8
cimaglobhnd,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Honduras,3/31/2009,300,58,31,11
lapftahnd,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Honduras,2/28/2010,1596,50.4,17.2,32
cimaftahnd,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Honduras,4/30/2011,300,33,,
lbfreehnd,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Honduras,2/15/2015,1000,60.2,30.5,9.3
lbfreehnd,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Honduras,6/15/2016,1000,61.1,34.6,4.3
lbfreehnd,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Honduras,8/28/2017,1000,76.1,21.5,2.4
usiafreemex,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Mexico,9/15/1985,1499,57,30,13
usiafreemex,Do you favor few restrictions on foreign imports?,Mexico,11/18/1989,1507,41.6,44.4,14
usianaftamex,Do you agree with a FTA with the US as the one recently reached between the US and Canada?,Mexico,11/18/1989,1507,70,20,10
usiatariffmex,Do you think that the reduction of import tariffs has been beneficial for your country's economy?,Mexico,11/18/1989,819,65,23.5,11.5
mpresnafta1mex,Do you agree with your country joining a FTA with the US to reduce tariffs and restrictions to trade?,Mexico,2/10/1991,1024,49.5,27,23.5
mpresnafta2mex,Do you agree with your country joining NAFTA with the US and Canada?,Mexico,2/10/1991,1024,50,27.7,22.3
mpresnaftamex_ind,Do you think you will enjoy a personal benefit from NAFTA?,Mexico,2/10/1991,1024,34.5,54.3,11.2
mpresnaftamex_dev,Do you think that NAFTA will be beneficial for the country's economic development?,Mexico,10/15/1991,2457,74.3,15.2,10.5
mpresnaftamex_ind,Do you think that NAFTA will be beneficial for the average citizen?,Mexico,10/15/1991,2457,63.7,21,15.3
mpresnaftamex_job,Do you think that NAFTA will increase jobs available?,Mexico,10/15/1991,2457,77,11,12
mpresnaftamex,"Overall, do you agree with your country joining NAFTA?",Mexico,10/15/1991,2457,60.5,13,26.5
mpresnafta1mex,Do you agree with your country joining a FTA with the US and Canada to reduce tariffs and restrictions to trade?,Mexico,8/15/1992,3447,56,12,32
mpresnaftamex_ind,Do you think that NAFTA will be beneficial for the average citizen?,Mexico,8/15/1992,3447,47,34.6,18.4
mpresnaftamex_dev,Do you think that NAFTA will be beneficial for the country's economic development?,Mexico,8/15/1992,3447,69.6,19.2,11.2
mpresnafta2mex,"Overall, do you agree with your country joining NAFTA?",Mexico,8/15/1992,3447,64.2,12.8,23
mpresnafta1mex,Do you agree with your country joining a FTA with the US and Canada to reduce tariffs and restrictions to trade?,Mexico,12/20/1992,3493,63,8.8,28.2
mpresnaftamex_ind,Do you think that NAFTA will be beneficial for the average citizen?,Mexico,12/20/1992,3493,48.7,34.3,17
mpresnafta2mex,"Overall, do you agree with your country joining NAFTA?",Mexico,12/20/1992,3493,64,10,26
usianaftamex,Do you favor or oppose NAFTA?,Mexico,9/15/1993,1508,53,14.3,32.2
usianaftamex_dev,Do you think that NAFTA will be beneficial for the country's economic development?,Mexico,9/15/1993,1508,68.6,21.4,10
usianaftamex_ind,Do you think that NAFTA will be beneficial for the average citizen?,Mexico,9/15/1993,1508,76.8,15.5,7.7
